ID,File,Book,Chapter,Set,Set item,Printed question number,Question PDF page,Answer PDF page,Reading PDF pages,Printed marked option position (1-based),Scoring status
b1-c4-s1-q23,Copy of Book 1.pdf,1,4,1,23,23,154,324,32–33,1,note
b1-c4-s1-q24,Copy of Book 1.pdf,1,4,1,24,24,154,324,32–33,3,marked
b1-c4-s1-q25,Copy of Book 1.pdf,1,4,1,25,25,154,324,32–33,5,marked
b1-c4-s1-q26,Copy of Book 1.pdf,1,4,1,26,26,154,325,32–33,4,marked
b1-c4-s1-q27,Copy of Book 1.pdf,1,4,1,27,27,155,325,32–33,2,marked
b1-c4-s1-q28,Copy of Book 1.pdf,1,4,1,28,28,155,325,32–33,3,note
b1-c4-s1-q29,Copy of Book 1.pdf,1,4,1,29,29,155,325,32–33,2,marked
b1-c4-s1-q30,Copy of Book 1.pdf,1,4,1,30,30,155,325,32–33,3,marked
b1-c4-s2-q01,Copy of Book 1.pdf,1,4,2,1,1,157,327,33–34,1,marked
b1-c4-s2-q02,Copy of Book 1.pdf,1,4,2,2,2,157,327,33–34,2,marked
b1-c4-s2-q03,Copy of Book 1.pdf,1,4,2,3,3,157,327,33–34,3,marked
b1-c4-s2-q04,Copy of Book 1.pdf,1,4,2,4,4,157,327,33–34,2,marked
b1-c4-s2-q05,Copy of Book 1.pdf,1,4,2,5,5,158,328,33–34,4,note
b1-c4-s2-q06,Copy of Book 1.pdf,1,4,2,6,6,158,328,33–34,1,marked
b1-c4-s2-q07,Copy of Book 1.pdf,1,4,2,7,7,158,328,33–34,1,marked
b1-c4-s2-q08,Copy of Book 1.pdf,1,4,2,8,8,158,328,33–34,4,marked
b1-c4-s2-q09,Copy of Book 1.pdf,1,4,2,9,9,158,328,33–34,3,marked
b1-c4-s2-q10,Copy of Book 1.pdf,1,4,2,10,40,159,329,33–34,2,note
b1-c4-s2-q11,Copy of Book 1.pdf,1,4,2,11,11,159,329,33–34,2,marked
b1-c4-s2-q12,Copy of Book 1.pdf,1,4,2,12,12,159,329,33–34,4,marked
b1-c4-s2-q13,Copy of Book 1.pdf,1,4,2,13,13,159,329,33–34,3,marked
b1-c4-s2-q14,Copy of Book 1.pdf,1,4,2,14,14,160,330,33–34,4,duplicate
b1-c4-s2-q15,Copy of Book 1.pdf,1,4,2,15,15,160,330,33–34,3,marked
b1-c4-s2-q16,Copy of Book 1.pdf,1,4,2,16,16,160,330,33–34,1,marked
b1-c4-s2-q17,Copy of Book 1.pdf,1,4,2,17,17,160,330,33–34,5,marked
b1-c4-s2-q18,Copy of Book 1.pdf,1,4,2,18,18,161,331,33–34,3,marked
b1-c4-s2-q19,Copy of Book 1.pdf,1,4,2,19,19,161,331,33–34,3,marked
b1-c4-s2-q20,Copy of Book 1.pdf,1,4,2,20,20,161,331,33–34,2,marked
b1-c4-s2-q21,Copy of Book 1.pdf,1,4,2,21,21,161,331,33–34,1,marked
b1-c4-s2-q22,Copy of Book 1.pdf,1,4,2,22,22,161,331,33–34,3,marked
b1-c4-s2-q23,Copy of Book 1.pdf,1,4,2,23,23,162,332,33–34,4,marked
b1-c4-s2-q24,Copy of Book 1.pdf,1,4,2,24,24,162,332,33–34,1,marked
